name@version *;license *;copyrights *;end-of-support;dependencies;language;repository;email;URL;license original;Description;ProjectName
bcprov-jdk15on-151.jar;"""BouncyCastle License""";Copyright non presente;-;-;Java;-;-;-;The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.;Bouncy Castle Licence: http://www.bouncycastle.org/licence.html;configuratoreapi
commons-lang-2.6.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Commons Lang, a package of Java utility classes for the         classes that are in java.lang's hierarchy, or are considered to be so         standard as to justify existence in java.lang.;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
commons-lang3-3.2.1.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache Commons Lang, a package of Java utility classes for the   classes that are in java.lang's hierarchy, or are considered to be so   standard as to justify existence in java.lang.;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
csi-java-swagger-codegen-1.0.0.jar;"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""";CSI-Piemonte;-;-;Java;-;-;-;;;configuratoreapi
cxf-2.7.14.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache CXF API;;configuratoreapi
dom4j-1.6.1.jar;"""BSD""";Copyright non presente;-;-;Java;-;-;-;dom4j: the flexible XML framework for Java;;configuratoreapi
guava-20.0.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
hibernate-core-4.1.3.Final-redhat-1.jar;"""LGPL-2.1""";Hibernate.org;-;-;Java;-;-;-;;;configuratoreapi
hibernate-validator-4.2.0.Final-redhat-1.jar;"""Apache-2.0""";Redhat;-;-;Java;-;-;-;Hibernate's Bean Validation (JSR-303) reference implementation.;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
jackson-core-2.6.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Core Jackson abstractions, basic JSON streaming API implementation;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
jackson-databind-2.6.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;General data-binding functionality for Jackson: works on core streaming API;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
jackson-mapper-asl-1.9.9.redhat-4.jar;"""Apache-2.0""";Redhat;-;-;Java;-;-;-;;http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
jettison-1.3.1.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;A StAX implementation for JSON.;;configuratoreapi
postgresql-42.2.6.jar;"""BSD-2-Clause""";Copyright non presente;-;-;Java;-;-;-;Java JDBC 4.2 (JRE 8+) driver for PostgreSQL database;BSD-2-Clause: https://jdbc.postgresql.org/about/license.html;configuratoreapi
sign-7.1.12.jar;"""AGPL-3.0""";iText;-;-;Java;-;-;-;;;configuratoreapi
spring-core-4.1.2.RELEASE.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Spring Core;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
spring-web-4.1.2.RELEASE.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Spring Web;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
xmlsec-1.5.1.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache XML Security for Java supports XML-Signature Syntax and Processing,         W3C Recommendation 12 February 2002, and XML Encryption Syntax and         Processing, W3C Recommendation 10 December 2002. As of version 1.4,         the library supports the standard Java API JSR-105: XML Digital Signature APIs.;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt;configuratoreapi
