name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
antlr-2.7.7.jar,"BSD", - ,-,-,Java,-,-,-
aopalliance-2.1.jar,"Public Domain", - ,-,-,Java,-,-,-
cglib-nodep-2.1_3.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-beanutils-bean-collections-1.8.3.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-beanutils-core-1.8.3.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-codec-1.7.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-collections-3.2.1.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-dbcp-1.2.2.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-digester-2.0.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-discovery-0.5.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-httpclient-2.0.2.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-io-2.2.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-lang-2.6.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-logging-1.1.1.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons-pool-1.5.2.jar,"Apache-2.0", - ,-,-,Java,-,-,-
commons.jar,"Apache-2.0", - ,-,-,Java,-,-,-
concurrent-1.3.4.jar,"Public Domain",Sun Microsoystems,-,-,Java,-,-,-
dom4j-1.6.1.jar,"BSD", - ,-,-,Java,-,-,-
hibernate-3.2.0.ga.jar,"LGPL-2.1", - ,-,-,Java,-,-,-
jackson-core-asl-1.9.11.jar,"Apache-2.0", - ,-,-,Java,-,-,-
jackson-core-asl-1.9.12.jar,"Apache-2.0", - ,-,-,Java,-,-,-
jackson-mapper-asl-1.9.12.jar,"Apache-2.0", - ,-,-,Java,-,-,-
jackson-xc-1.9.12.jar,"Apache-2.0", - ,-,-,Java,-,-,-
jaxp-ri-1.4.jar,"CCDL-1.0; GPL-2.0-or-later", - ,-,-,Java,-,-,-
jboss-common-4.0.2.jar,"LGPL-2.1", - ,-,-,Java,-,-,-
jstl-1.2.jar,"CDDL-1.0; GPL-2.0", - ,-,-,Java,-,-,-
postgresql-42.2.6.jar,"BSD-2-Clause", - ,-,-,Java,-,-,-
asm-3.1.jar,"BSD", - ,-,-,Java,-,-,-
axis-1.2.jar,"Apache-2.0", - ,-,-,Java,-,-,-
bcpkix-jdk15on-155.jar,"BouncyCastle License", - ,-,-,Java,-,-,-
bcprov-jdk15on-155.jar,"BouncyCastle License", - ,-,-,Java,-,-,-
com.lowagie.text-2.1.7.jar,"EPL-1.0", - ,-,-,Java,-,-,-
csi-apachesoap-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-core-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-prodtools-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-rmi-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-stadapter-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-tools-1.2.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
cxf-core-3.3.2.jar,"Apache-2.0", - ,-,-,Java,-,-,-
